impl,fc,m,n,k,groups,ktile,best_ms,best_us,gflops,config,log
mxfp4_bf16,FC1,18,1024,4096,128,256,0.379437000,379.437000,50936.900000,"KernelPtrArrayTmaWarpSpecializedPingpong Shape<_1,_1,_1> Shape< _64, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m18_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,18,1024,4096,128,512,0.384862000,384.862000,50218.900000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _512> Stages=3",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m18_n1024_k4096_g128_k512.log
mxfp4_bf16,FC1,22,1024,4096,128,128,0.379820000,379.820000,62193.500000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _32, _128> Stages=12",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m22_n1024_k4096_g128_k128.log
mxfp4_bf16,FC1,22,1024,4096,128,256,0.379456000,379.456000,62253.100000,"KernelPtrArrayTmaWarpSpecializedPingpong Shape<_1,_1,_1> Shape< _64, _32, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m22_n1024_k4096_g128_k256.log
mxfp4_bf16,FC1,22,1024,4096,128,512,0.384871000,384.871000,61377.200000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_2,_1,_1> Shape<_128, _32, _512> Stages=3",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC1_m22_n1024_k4096_g128_k512.log
mxfp4_bf16,FC2,1,4096,512,128,128,0.230485000,230.485000,2329.310000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m1_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,1,4096,512,128,256,0.232627000,232.627000,2307.860000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m1_n4096_k512_g128_k256.log
mxfp4_bf16,FC2,1,4096,512,128,512,0.245771000,245.771000,2184.430000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _512> Stages=4",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m1_n4096_k512_g128_k512.log
mxfp4_bf16,FC2,2,4096,512,128,128,0.232595000,232.595000,4616.350000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _128> Stages=16",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m2_n4096_k512_g128_k128.log
mxfp4_bf16,FC2,2,4096,512,128,256,0.230267000,230.267000,4663.040000,"KernelPtrArrayTmaWarpSpecializedCooperative Shape<_1,_1,_1> Shape<_128, _16, _256> Stages=8",.claude/optimization-logs/2026-05-21-cmx-four-impl-best-configs-231136/mxfp4_bf16_FC2_m2_n4096_k512_g128_k256.log
